port_code,port_name,country_code
CNSZX,Shenzhen,CN
VNSGN,Ho Chi Min City (formerly Saigon),VN
DKAAB,Aabenraa,DK
SGSIN,Singapore,SG
INNSA,NHAVA SHEVA,IN
NOAHM,Aaheim m,NO
COMAM,Mamonal,CO
JPHSM,Hososhima,JP
XZANT,Ardjuna,ID
FIPRS,Jacobstad,FI
VEMTV,"Matanzas, Venezuela",VE
MYTMP,Tanjung Manis,MY
AERWP,RUWAIS,AE
AESHJ,Sharjah,AE
AEMZD,Umm Al Nar,AE
JPKUC,Kuchinotsu,JP
AEZUR,Zirku Island,AE
ARROS,"Rosario, Argentina",AR
GRKLL,Kali Limenes,GR
CMKBI,Kribi,CM
CNHUI,Huizhou,CN
USBTJ,Bethel,US
INIXY,Kandla,IN
CUANT,Antilla,CU
VEPCZ,Puerto La Cruz,VE
NZNPL,New Plymouth,NZ
FIKRS,Kristinestad,FI
ARMDQ,Mar del Plata,AR
AUWEI,Weipa,AU
AUKUR,Kurnell,AU
BRBEL,Belem,BR
BRPNG,Paranagua,BR
CLCNR,Chanaral,CL
CNLSN,Lanshan,CN
CRLIO,Puerto Limon,CR
COTCO,Tumaco,CO
ESALD,Alcudia,ES
FRMRS,Marseilles,FR
IEWAT,Waterford,IE
ILETH,Eilat,IL
GBHRW,Harwich,GB
GBHTP,Hartlepool,GB
GBRUN,Runcorn,GB
DESTL,Stralsund,DE
DKENS,Ensted,DK
INKRI,Krishnapatnam,IN
INKRW,Karwar - North Port,IN
DKHOR,Horsens,DK
MXGYM,Guaymas,MX
SLPEP,Pepel,SL
TWHUN,Hualien,TW
JPOSA,Osaka,JP
PNPCN,Pitcairn Island,PN
PRBQN,Aguadilla,PR
ERASA,Assab,ER
ERMSW,Massawa,ER
JPSHS,Shimonoseki,JP
JPSMN,Sakaiminato,JP
LVRIX,Riga,LV
LVVNT,Ventspils,LV
NOBVK,Brevik,NO
BEZEL,Zelzate,BE
FJLEV,Levuka,FJ
JPYWT,Yawata,JP
KEMBA,Mombasa,KE
KPNAM,Nampo,KP
LCCAS,Castries,LC
NGLOS,"Lagos, Nigeria",NG
IDDPS,Denpasar,ID
MQFDF,Fort de France,MQ
MXSCR,San Carlos,MX
NOARE,Arendal,NO
CABAY,Bayside,CA
NLRTM,Rotterdam,NL
NOHAU,Haugesund,NO
NOMON,Mongstad,NO
NOSVG,Stavanger,NO
PHZAM,Zamboanga,PH
PEPAI,Paita,PE
PGRAB,Rabaul,PG
RUPRI,Primorsk,RU
SEDOM,Domsjo,SE
SYBAN,Banias,SY
SENRK,Norrkoping,SE
THRYG,Rayong,TH
FRBOL,Boulogne-sur-Mer,FR
GBTOR,Torbay Harbour,GB
USAST,"Astoria, Oregon, U.S.A.",US
USAVD,Avondale,US
FIKEM,Kemi,FI
USDVT,Davant,US
USPLQ,Plaquemine,US
USMAR,Marrero,US
FRTLN,Toulon,FR
USTIV,Tiverton,US
GBFAS,Faslane,GB
PLGDY,Gdynia,PL
GBJAR,Jarrow - Shell UK Berth,GB
GBTAB,"Tarbert, (Kintyre), U.K.",GB
HNPCA,Puerto Castilla,HN
GMBJL,Banjul,GM
GQBSG,Bata - Puerto Nuevo,GQ
LKHBA,Hambantota,LK
TNMBA,Menzel Bourguiba,TN
GWOXB,Bissau,GW
"	TNSU",Sousse,TN
AOMAL,Malongo,AO
ARCVI,Caleta Olivia,AR
ARBDE,Escobar,AR
CAQUE,Quebec,CA
ARRGA,Rio Grande (Arg),AR
AUKOI,KOOLAN ISLAND,AU
AULST,Launceston,AU
CNJMN,Jiangmen,CN
HRSIB,Sibenik,HR
CABCO,Baie Comeau,CA
UYPDP,Punta Del Este,UY
IRBND,Bandar Abbas,IR
IRBKM,Bandar Imam Khomeini,IR
GBFOL,Folkestone,GB
IDPNK,Pontianak,ID
GBGLO,Gloucester,GB
CASNI,Sarnia,CA
GBWHV,Whitehaven,GB
INBUD,Budge Budge,IN
INCCJ,Calicut,IN
ITCAG,Cagliari,IT
TTTEM,Tembladora,TT
INHZR,Hazira,IN
JPHIS,Hikoshima,JP
CLCHB,Chacabuco,CL
KZAAU,Aktau,KZ
JPABU,Aburatsu,JP
SAJUT,"Ju""aymah",SA
LYTOB,Tobruk,LY
SESSR,Skutskar,SE
 SXPH,Philipsburg,MF
MGFTU,Fort Dauphin,MG
MYLUT,Lutong,MY
NCPNY,Prony Port,NC
NLPER,Pernis,NL
PHRTB,Rio Tuba,PH
NOSTE,Steinkjer,NO
NOVAL,Valloy,NO
SEKSD,Karlstad,SE
PHHON,Hondagua,PH
VILIB,Limetree Bay,VI
PHSUA,Sual Port,PH
ROTCE,Tulcea,RO
USMQI,Quincy (Ma),US
RUMAG,Magadan,RU
SEROR,Ronnskar,SE
SNLYN,Lyndiane,SN
USBYB,Boynton Beach,US
BRAJU,Aracaju,BR
USNTV,Northville,US
AUBTB,Botany Bay,AU
BRSFS,Sao Francisco do Sul,BR
CNSHG,Shanghai,CN
CMKOL,Kole,CM
BRQNS,Canoas,BR
AUPUG,Port Augusta,AU
JPHRM,Haramachi,JP
USPAU,Paulsboro,US
VNVUT,Vung Tau,VN
ZACPT,Cape Town,ZA
KRCHF,Jinhae,KR
ITGEA,Gela,IT
AUMIB,Groote Eylandt,AU
JPAMA,Amagasaki,JP
JPAXT,Akita,JP
GBLOW,Lowestoft,GB
GBMLF,Milford Haven,GB
JPHKD,Hakodate,JP
JPHKT,Hakata,JP
AUTRB,Trial Bay,AU
JPHMK,Himekawa,JP
PRPSE,Ponce,PR
RUKOR,Korsakov,RU
SEKAA,Karlskrona,SE
CNSHK,Shekou,CN
CNWEI,Wei Hai,CN
GBLEI,Leith,GB
USHNL,Honolulu,US
GBPRU,Portbury,GB
CUMOA,Moa,CU
GBMON,"Montrose, U.K.",GB
CNXMN,Xiamen,CN
CNYIK,Yingkou,CN
CNYPG,Yangpu,CN
CNYTN,Yantian,CN
CNZHA,Zhanjiang (formerly Tsamkong),CN
CNZJG,Zhangjiagang,CN
CNZOS,Zhoushan,CN
CNZPU,Zhapu,CN
CNZUH,Zhuhai,CN
CNZZU,Zhangzhou,CN
COCTG,"Cartagena, Colombia",CO
COCVE,Covenas,CO
DKHLS,Helsingor,DK
MAEUN,Laayoune,MA
MPSPN,Saipan,MP
MYKCH,Kuching,MY
NLBOT,Botlek,NL
NOFAX,Fagerstrand,NO
VCKTN,"Kingstown, St. Vincent",VC
VEAMY,Amuay Bay,VE
VEPCN,Punta Cardon,VE
HKHKG,Hong Kong,CN
JPNAS,Naoshima,JP
JPFSK,Fushiki,JP
DOBRX,Barahona,DO
VNUIH,Qui Nhon,VN
VNVPH,Van Phong Bay,VN
ESMPG,Marin,ES
PRNRR,Roosevelt Roads,PR
ZADUR,Durban,ZA
LBJIE,Jieh Port,LB
ZAELS,East London,ZA
ESSVQ,Seville,ES
VNBHO,Bach Ho,VN
GNCKY,Conakry,GN
ITQOS,Oristano,IT
GBPFT,Purfleet,GB
CACOC,Contrecoeur,CA
VECBS,Cabimas,VE
VECUP,Carupano (Venezuela),VE
VIFRD,Frederiksted,VI
FRSNR,St Nazaire,FR
VECLM,Catia La Mar,VE
JMPRH,Port Rhoades,JM
JPFKY,Fukuyama,JP
JPKGA,Kakogawa,JP
NOSAD,Sandefjord,NO
JPHHE,Hachinohe,JP
LYKHO,Khoms,LY
JPKMT,Kimitsu,JP
JPKOK,Kokura,JP
JPKOM,Komatsushima,JP
INENR,Ennore,IN
ARDGU,Del Guazu,AR
JPOND,Onoda,JP
JPOTR,Otaru,JP
NOPOR,Porsgrunn,NO
JPTKY,Tokuyama,JP
JPTMK,Tomakomai,JP
JPTOY,Toyama,JP
JPTYO,Tokyo,JP
JPUBJ,Ube,JP
MGMJN,Mahajunga,MG
GBRER,Redcar,GB
IDANR,ANYER,ID
LYMRA,Misurata,LY
MGDIE,Diego Suarez,MG
MRNDB,Nouadhibou,MR
MRNKC,Nouakchott,MR
MTMAR,Marsaxlokk,MT
MUPLU,Port Louis,MU
MXCZM,Cozumel,MX
MXDBT,Dos Bocas,MX
NOBLL,Ballangen,NO
MXESE,"Ensenada, Mexico",MX
RUDKA,De Kastri,RU
IDBTN,Banten,ID
IDKAT,Kalianget,ID
KRKWA,KWANGYANG,KR
AUNTE,Northern Endeavour,AU
INNPT,Nagapattinam,IN
NOMAY,Maaloy,NO
pgmag,Madang,PG
VEELC,El Chaure,VE
VEEGU,El Guamache,VE
AUGRV,Griffin Venture,AU
AUJAB,Jabiru Venture,AU
IDMDR,Madura,ID
TWMLI,Mailiao,TW
PHMVS,Mariveles,PH
PHMAS,Masao,PH
NONYH,Nyhamna,NO
SEKAX,Kalix,SE
IDTJB,Karimun,ID
IDJBT,Jabung Batanghari Marine Terminal,ID
IDMUD,Muara Jawa,ID
IDMSK,Muara Sabak Anchorage,ID
ILHAD,Hadera,IL
LVMRX,Mersrags,LV
MXMRE,Morro Redondo,MX
VECUM,Cumana,VE
NOHRI,Hareid,NO
INGPR,Gopalpur,IN
THKAN,Kantang,TH
VEGUT,Guanta,VE
VEPBL,Puerto Cabello,VE
VUVLI,Port Vila,VU
YEHOD,Hodeidah,YE
YEMKX,Mukalla,YE
NOFAN,Farsund,NO
PEPCH,Puerto Chicama,PE
KROKK,Okkye,KR
MANNA,Kenitra,MA
MATTA,Tan Tan,MA
MAPTM,Tanger Med,MA
AEQIW,Umm Al Quwain,AE
RUSKA,Slavyanka,RU
JPNAN,Nakanoseki,JP
CNAQG,Anqing,CN
MMAKY,Akyab,MM
NOALF,Alta,NO
NOKMY,Karmoy,NO
CNWEF,Weifang,CN
NOLND,Lyngdal,NO
PHMAL,Malampaya Calm Buoy,PH
NOVAO,Vardo,NO
NZORR,Otago Harbour,NZ
PAPBM,Bahia Las Minas,PA
GBASG,Ardrishaig,GB
JPSBK,Senboku,JP
IDLSW,Lhokseumawe,ID
PGROR,Oro Bay,PG
PGWWK,Wewak,PG
PHCSI,Ajuy,PH
PHCBY,Calbayog,PH
PHPUL,Pulupandan,PH
ITPRL,Priolo,IT
JPSGM,Shiogama,JP
KPHGM,Hungnam,KP
MXNAN,Nanchital,MX
PECHY,Chancay,PE
PRARE,Arecibo,PR
ROMAG,Mangalia,RO
RUDKS,Dikson Harbour,RU
RUNEV,Nevelsk,RU
THKHA,Khanom,TH
RUNIA,Nikolaevsk On Amur,RU
RUPSE,Posyet,RU
THMAT,MAP TA PHUT,TH
SEDEG,Degerhamn,SE
SEHAN,Hargshamn,SE
VNCMT,Cai Mep,VN
BDMGL,Mongla,BD
JPAOK,Aokata,JP
TRGIR,Giresun,TR
USSSI,Brunswick (Ga),US
NZHAS,Hastings,NZ
USFLL,Fort Lauderdale,US
USKUA,Kaunakakai,US
JPFKM,Fuku Shima,JP
JPKNA,Kawagoe,JP
USENW,Kenosha,US
USKTN,Ketchikan,US
COSMR,Santa Marta,CO
USYON,Yonkers,US
COTRB,Turbo,CO
JOAQJ,Aqaba,JO
PH WN,Naga,PH
JPKOJ,Kagoshima,JP
VECMR,Cumarebo,VE
VEPCA,Punta Camacho,VE
VEGUB,Guaranao,VE
ARZAE,Zarate,AR
AUHBA,Hobart,AU
HKTOL,Tolo Harbour,CN
USBLI,Bellingham,US
USRHD,Riverhead,US
KRMOK,Mokpo,KR
CYLCA,Larnaca,CY
DEKEL,Kiel,DE
FIINK,Inkoo,FI
GRLVR,Aliveri Bay,GR
BGNES,Nessabar,BG
FRBIA,Bastia,FR
GRITA,Itea,GR
GRSTN,Aspra Spitia,GR
HRBAK,Bakar,HR
GRKGS,Kos,GR
AEMBS,Halat al Mubarraz,AE
CNYZH,Yangzhou,CN
CAIOC,Ioco,CA
CNZHE,Zhenjiang,CN
DZAZW,Arzew,DZ
EETLL,Tallinn - Miinisadam,EE
SARTA,Ras Tanura,SA
SAYNB,Yanbu,SA
TRAMR,Ambarli,TR
COBAQ,Barranquilla,CO
COBUN,Buenaventura,CO
COPBO,"Puerto Bolivar, Colombia",CO
CRCAL,"Caldera, Costa Rica",CR
CNSDG,Shuidong,CN
CNSHP,Qinhuangdao,CN
ESALC,Alicante,ES
ESLCG,Coruna,ES
GBLDY,Londonderry,GB
GBLIV,"Liverpool, U.K.",GB
GBLON,London,GB
HROMI,Port Dina,HR
IDCXP,Cilacap,ID
USGON,New London,US
USLCH,Lake Charles - LNG Berths,US
IDMRK,Merak,ID
JPKNU,Kinuura,JP
IDPDG,Padang,ID
PHCGY,Cagayan de Oro,PH
PRSJU,"San Juan, Puerto Rico (U.S.A.)",PR
IDSRG,Semarang,ID
IDSUB,Surabaya,ID
INBOM,Bombay,IN
INCCU,Calcutta,IN
INMUN,Mundra,IN
INNML,New Mangalore,IN
JPCHB,Chiba,JP
KRTSN,Daesan,KR
DEHTU,Holtenau,DE
JPHIJ,Hiroshima,JP
JPKWS,Kawasaki,JP
RUVYP,Vostochnyy,RU
RUYEY,Yeysk,RU
SAGIZ,Gizan,SA
SAJUB,King Fahd Industrial Port (Jubail),SA
JPYKK,Yokkaichi - LNG,JP
NOKSU,Kristiansund N.,NO
SJBAR,Barentsburg,NO
JPUNO,Uno,JP
CAKIN,"Kingston, Ontario, Canada",CA
CAKTM,Kitimat,CA
JPWAM,Wakamatsu,JP
JPYOK,Yokohama,JP
MGNOS,Nossi-Be,MG
MMRGN,Rangoon,MM
MXCOA,Coatzacoalcos,MX
USMIA,Miami,US
NZTRG,Tauranga,NZ
ARCMP,Campana,AR
ARCOU,Concepcion del Uruguay,AR
ARCRD,Comodoro Rivadavia,AR
PHCEB,Cebu,PH
MYBKI,Kota Kinabalu,MY
MYMKZ,Malacca,MY
MYPKG,Port Klang - Pelabuhan Ultra - North Port,MY
ARSNS,"San Nicolas, Argentina",AR
ARSSN,"San Sebastian, Argentina",AR
AUBNE,Brisbane,AU
AUBUY,Bunbury,AU
NGBON,Bonny,NG
BNSER,Seria,BN
NLVLI,Flushing,NL
NOFRK,Fredrikstad,NO
USCHI,Chicago,US
USCRP,Corpus Christi,US
AUBEL,Bell Bay,AU
AUBME,Broome,AU
AEJED,Jebel Dhanna - Ruwais,AE
AEKLF,Khor Fakkan,AE
AEMSA,Mina Saqr,AE
AEPRA,Port Rashid,AE
AGSJO,"St John""""s, (Antigua), Antigua and Barbuda",AG
ITPES,Pesaro,IT
USHNS,Haines,US
ALDRZ,Durres,AL
ARSLO,"San Lorenzo, Argentina",AR
USEWB,New Bedford,US
ARVCN,Villa Constitucion,AR
ASPPG,Pago Pago,AS
AUADL,Adelaide,AU
AUALH,"Albany, W.A., Australia",AU
TRDIL,Diliskelesi,TR
USSUE,Sturgeon Bay,US
USKAE,Kake,US
TRTEK,Tekirdag,TR
USBTR,Baton Rouge,US
USCEN,"St James, Louisiana, U.S.A.",US
USFPO,"Freeport, Texas, U.S.A.",US
ARBHI,Bahia Blanca,AR
ARBUE,Buenos Aires,AR
AEABU,Abu Al Bukhoosh,AE
AEDAS,Das Island,AE
AEFJR,Fujairah,AE
AEJEA,Jebel Ali,AE
ALVOA,Vlore,AL
AOCAB,Cabinda,AO
AOLAD,Luanda,AO
AOLOB,Lobito,AO
AOPAT,Palanca,AO
AOSZA,Soyo,AO
ARDME,Diamante,AR
ARIBY,Ibicuy,AR
AUFRE,Fremantle,AU
INIXZ,Port Blair,IN
ARLPG,La Plata,AR
ARNEC,Necochea,AR
ARPRA,Parana,AR
ARPRS,Puerto Rosales,AR
BRCDO,Cabedelo,BR
BRRIG,Rio Grande,BR
ARRAM,Ramallo,AR
ARSAE,San Antonio Este,AR
CALWP,Lewisporte,CA
ARSFN,Santa Fe,AR
AUBWB,Barrow Island,AU
AUBWT,Burnie,AU
AUCNS,Cairns,AU
AUDAM,Dampier,AU
AUDPO,"Devonport, Tas., Australia",AU
AUDRW,"Darwin, N.T., Australia",AU
AUEPR,Esperance,AU
ITPFX,Sarroch,IT
AUGET,Geraldton,AU
BRARB,Aratu,BR
AUGEX,Geelong,AU
AUGLT,"Gladstone, Qld., Australia",AU
AUWAL,Wallaroo,AU
AUTHE,Thevenard,AU
AUTSV,Townsville,AU
AUWNB,Withnell Bay,AU
AUWYA,Whyalla,AU
AWSNL,"San Nicolas Coastal Inner Harbour, Aruba (Netherlands)",AW
BDCGP,Chittagong,BD
BRTUB,Tubarao,BR
AUGOV,Gove,AU
AUKRB,Karumba,AU
BQEUX,St Eustatius,AN
AUKWI,Kwinana (Refinery),AU
AUMEL,Melbourne,AU
AUMKY,Mackay,AU
AUMOU,Mourilyan,AU
AUNTL,Newcastle,AU
AUONS,Onslow,AU
AUPBY,Port Bonython,AU
AUPGI,Port Giles,AU
AUPHE,Port Hedland,AU
AUPKL,Port Kembla,AU
AUPLA,Port Latta,AU
AUPLO,Port Lincoln,AU
AUPPI,Port Pirie,AU
AUPTL,Port Alma,AU
AUPWL,Port Walcott,AU
AUQDN,Eden,AU
AUSYD,"Sydney, N.S.W., Australia",AU
BEANR,Antwerp,BE
BEGNE,Ghent,BE
BEZEE,Zeebrugge,BE
BGBOJ,Bourgas,BG
BJCOO,Cotonou,BJ
BNMUA,Muara Port,BN
EGRAG,Ras Gharib,EG
BRADR,Angra dos Reis,BR
BRFOR,Fortaleza,BR
BRMAO,Manaus,BR
BRSSO,Sao Sebastiao,BR
BRSSZ,Santos,BR
CAPTU,Point Tupper,CA
CAVAN,"Vancouver, B.C., Canada",CA
CNDDG,Dandong,CN
FRBES,Brest,FR
DEBRV,Bremerhaven,DE
BRSTM,Santarem,BR
BRSUA,Suape,BR
BRREC,Recife,BR
IECOB,Cobh,IE
ITPIO,Piombino,IT
ITPEM,Porto Empedocle,IT
BRSSA,Salvador,BR
BRTRM,Tramandai,BR
BRVIX,"Vitoria, Brazil",BR
BSFPO,"Freeport, (Grand Bahama Is.), Bahamas",BS
BSNAS,Nassau,BS
BZBZE,Belize,BZ
CACBC,Come-By-Chance,CA
CAHAL,Halifax,CA
CAMTR,Montreal,CA
CAPHW,Port Hawkesbury - Wright Point Oil Berth,CA
CNCGS,Changshu,CN
CLARI,Arica,CL
CLCNL,Coronel,CL
CLCNX,Cabo Negro,CL
CUCFG,Cienfuegos,CU
CLIQQ,Iquique,CL
CLPMC,Puerto Montt,CL
CAVIC,"Victoria, B.C., Canada",CA
CIABJ,Abidjan,CI
ITPNG,Porto Nogaro,IT
ITPSS,Porto Santo Stefano,IT
ITPTO,Porto Torres,IT
ITPVE,Porto Vesme,IT
CLANF,Antofagasta,CL
CLPUQ,Punta Arenas,CL
CLQTV,Quintero,CL
CLSVE,"San Vicente, Chile",CL
CLTOQ,Tocopilla,CL
CLVAP,Valparaiso,CL
CNCWN,Chiwan,CN
CNLKU,Longkou,CN
CNMJS,Maji Shan,CN
CNMWN,Mawan,CN
CNNSA,Nansha,CN
CNNTG,Nantong,CN
CUNVT,Nuevitas (Puerto Tarafa),CU
ESBIO,Bilbao,ES
EGWAF,Wadi Firan,EG
IDSKP,Sekupang,ID
CNWNZ,Wenzhou,CN
CMLIT,Cape Limboh,CM
GBERI,Erith,GB
DEHAM,Hamburg,DE
DERSK,Rostock,DE
CNBSP,Basuo,CN
CNBYQ,Bayuquan,CN
EGSGA,Safaga,EG
CNDSN,Dongshan,CN
CNFAN,Fangcheng,CN
CRMOB,Puerto Moin,CR
CRPAS,Puntarenas,CR
CNHGH,Hangzhou,CN
CNJNZ,Jinzhou,CN
ITPZL,Pozzallo,IT
ESCAD,Cadiz Bay,ES
GBCBT,Campbeltown,GB
MYKUD,Kudat,MY
UABGD,Belgorod Dnestrovsky,UA
GBLER,Lerwick,GB
EGRSH,Ras Shukheir,EG
CNPLI,Penglai,CN
CNQZH,Qinzhou,CN
CNRPG,Raoping,CN
CNSHD,Shidao,CN
CUGUB,Guantanamo,CU
CUHAV,Havana,CU
CUMZO,"Manzanillo, Cuba",CU
CUMAR,Mariel,CU
CUQMA,"Matanzas, Cuba",CU
COPOC,Pozos Colorados,CO
CWWIL,"Willemstad, (Curacao), Netherlands Antilles",AN
CXXCH,Christmas Island,IO
ESAGP,Malaga,ES
CYDHK,Dhekelia,CY
CYLMS,Limassol,CY
CYVAS,Vassiliko Bay,CY
DEBRB,Brunsbuttel,DE
DEBRE,Bremen,DE
DEEME,Emden,DE
DELBC,Lubeck,DE
DESTA,Stade,DE
DEWVN,Wilhelmshaven,DE
DJJIB,Djibouti,DJ
UAILK,Chornomorsk,UA
GBFAW,Fawley,GB
DEECK,Eckernforde,DE
DKAAL,Aalborg,DK
DKAAR,Aarhus,DK
DKCPH,Copenhagen,DK
ESALG,Algeciras,ES
ESAVS,Aviles,ES
DKFRC,Fredericia,DK
DKGFH,Gulfhavn,DK
DOHAI,Rio Haina,DO
DZAAE,Annaba,DZ
DZALG,Algiers,DZ
DZBJA,Bejaia,DZ
DZDJE,Djen-Djen,DZ
ESTAR,Tarragona,ES
ESVGO,Vigo,ES
DZGHZ,Ghazaouet,DZ
CUPPA,Puerto Padre,CU
GBCDF,Cardiff,GB
DZMOS,Mostaganem,DZ
DZORN,Oran,DZ
DZSKI,Skikda,DZ
ECESM,Esmeraldas,EC
ECGYE,Guayaquil,EC
EEPLA,Paldiski South Harbour,EE
EGALY,"Alexandria, Egypt",EG
EGDAM,Damietta,EG
EGPSD,Port Said,EG
EGSKT,Sidi Kerir,EG
IDSOQ,Sorong,ID
FIVAA,Vaasa,FI
ESACA,Alcanar,ES
ESBCN,"Barcelona, Spain",ES
ESIBZ,Ibiza,ES
ESLEI,Almeria,ES
IDTBA,Tanjung Bara,ID
IDTRK,Tarakan,ID
IEBYT,Bantry Bay,IE
IEDUB,Dublin,IE
ESCAR,"Cartagena, Spain",ES
ESCEU,Ceuta,ES
ESCRS,Carboneras,ES
ESFRO,Ferrol,ES
ILAKL,Ashkelon,IL
ESGAR,Garrucha,ES
ESGIJ,Gijon,ES
ESHUV,Huelva,ES
IEFOV,Foynes Harbour,IE
CUSCU,Santiago de Cuba,CU
CVRAI,Praia,CV
CVSID,Sal Is.,CV
CVVXE,St Vincent,CV
GBCTM,Chatham Docks U.K.,GB
GBDUN,Dundee,GB
ESMAH,Mahon,ES
FIRAU,Rauma,FI
ESMOT,Motril,ES
ESPAS,Pasajes,ES
ESPMI,Palma,ES
ESROT,"Rota, Spain",ES
FRDKK,"Dunkirk, France",FR
FRDON,Donges,FR
FRFOS,Fos,FR
FRLAV,Lavera,FR
CVMIN,Mindelo,CV
CYAKT,Akrotiri,CY
CYFMG,Famagusta,CY
FRBOD,Bordeaux,FR
FRLRT,Lorient,FR
FRPAP,Pauillac,FR
ESSAG,Sagunto,ES
IEWHI,Whitegate,IE
GBDVR,"Dover, U.K.",GB
GBELL,Ellesmere Port,GB
GBFAL,"Falmouth, U.K.",GB
DEFLF,Flensburg,DE
DENHA,Nordenham,DE
ESSCI,San Ciprian,ES
ESSCR,San Carlos de la Rapita,ES
ESSDR,Santander,ES
ESVIL,Villagarcia de Arosa,ES
ESVLC,Valencia,ES
FIHEL,Helsinki,FI
FIHMN,Hamina,FI
FIKTK,Kotka,FI
FINLI,Naantali,FI
FRPET,Petit Couronne,FR
FRPJE,Port Jerome,FR
IEORK,Cork,IE
ILASH,Ashdod,IL
FRSET,Sete,FR
FRURO,Rouen,FR
GAGAX,Gamba,GA
CYMOI,Moni,CY
CYKAR,Xeros,CY
DEBKE,Brake,DE
DEBUZ,Butzfleth,DE
DECUX,Cuxhaven,DE
GBFOY,Fowey,GB
GBABD,"Aberdeen, U.K.",GB
GBAUL,Loch Ewe,GB
GBAVO,Avonmouth,GB
GBBAD,Barry,GB
GBBEL,"Belfast, U.K.",GB
GBBFB,Braefoot Bay,GB
GBBLY,Blyth,GB
GBBOS,"Boston, U.K.",GB
GBBRS,"Bristol, U.K.",GB
GBFNT,Finnart,GB
GBFXT,Felixstowe,GB
GBGLW,Glasgow,GB
GBGRG,Grangemouth,GB
GBGRK,Greenock,GB
JMMBJ,Montego Bay,JM
GBGSA,Glensanda,GB
GBGSY,Grimsby,GB
GBGTY,Great Yarmouth,GB
GBHAM,Hamble,GB
GBHLY,Holyhead,GB
GBHPT,Hound Point,GB
JPMIN,Minamata,JP
GBHST,Hunterston,GB
GBIMM,Immingham Dock,GB
GBINV,Inverness,GB
GBIPS,Ipswich,GB
GBIVG,Invergordon,GB
GBKGH,Killingholme,GB
GBKLN,"King""""s Lynn",GB
GBKNK,Kingsnorth,GB
DKASS,Asnaes,DK
DKASN,Assens,DK
GBKWL,Kirkwall,GB
GBLAR,Larne,GB
GQSSG,Malabo,GQ
GRGPA,Patras,GR
GRKVA,Kavalla,GR
GRPIR,Piraeus,GR
DKKAL,Kalundborg,DK
DKKOG,Koge,DK
HNSLO,"San Lorenzo, Honduras",HN
ILHFA,Haifa,IL
INALA,Alang,IN
INBHU,Bhavnagar,IN
INCDL,Cuddalore,IN
HRRJK,Rijeka,HR
HRZAD,Zadar,HR
IDCIW,Ciwandan,ID
IDDUM,Dumai,ID
IDITN,Tanjung Uban,ID
GBNHO,New Holland,GB
GBNPT,"Newport, Wales, U.K.",GB
GBOAK,Oakham Ness,GB
GBPHD,Peterhead ,GB
GBPLY,"Plymouth, U.K.",GB
GBPME,"Portsmouth, U.K.",GB
GBPOO,Poole,GB
GBPTB,Port Talbot,GB
GBPTL,"Portland, U.K.",GB
GBRMG,Ramsgate,GB
GBROY,Rosyth,GB
GBSCR,Scrabster,GB
GBSED,Saltend,GB
ITPMO,Palermo,IT
ITRAN,Ravenna,IT
GBSFW,Scapa Flow,GB
GBSHS,Sheerness,GB
GBSUL,Sullom Voe,GB
GBSUN,Sunderland,GB
GBSWA,"Swansea, U.K.",GB
GBTEE,Teesport,GB
GBTRA,Tranmere,GB
GBWPT,Warrenpoint,GB
GEPTI,Poti,GE
GHTEM,Tema,GH
GIGIB,Gibraltar,GI
GRAGT,Agioi Theodoroi,GR
IRKHK,Kharg Island,IR
INSAL,Salaya,IN
