port_code,port_name,country_code
MYSBW,Sibu,MY
GRASS,Aspropyrgos,GR
GRSKG,Thessaloniki,GR
DKKOL,Kolding,DK
GRVOL,Volos,GR
IDAMA,Amamapare,ID
NOBGO,Bergen,NO
GTPRQ,Puerto Quetzal,GT
GTSNJ,"San Jose, Guatemala",GT
GTSTC,Santo Tomas de Castilla,GT
HNPCR,Puerto Cortes,HN
DKKRR,Korsor,DK
FIPOR,Pori,FI
HNTEA,Tela,HN
DETRV,Travemunde,DE
IDAMQ,Ambon,ID
IDBDJ,Banjarmasin,ID
IDBIT,Bitung,ID
IDBLL,Blang Lancang,ID
ITGIT,Gioia Tauro,IT
ITGOA,Genoa - Avamporto,IT
IDBUA,Bula,ID
DKEBJ,Esbjerg,DK
TRGUL,Gulluk,TR
IDLUW,Luwuk,ID
IDPLM,Palembang,ID
IDPNJ,Panjang,ID
IDBYQ,Pulo Bunyu,ID
IDCIG,Cigading,ID
IDKAB,Kabil,ID
ITGAE,Gaeta,IT
DKFDH,Frederikshavn,DK
DKGED,Gedser,DK
IDKOE,Kupang,ID
IDKTJ,Kuala Tanjung,ID
IDLLA,Lawi Lawi,ID
GBLAH,Lamlash,GB
ITBDS,Brindisi,IT
ITSPE,La Spezia,IT
INMAA,Chennai (formerly Madras),IN
INMRM,Mormugao,IN
ITSVN,Savona,IT
ITTAR,Taranto,IT
ITTRS,Trieste,IT
IDPRO,Probolinggo,ID
DOSDQ,Santo Domingo,DO
GBLIT,Littlehampton,GB
IDPSS,Pulau Sambu,ID
IDPTL,Pantoloan,ID
NOEGD,Egersund,NO
IRLVP,Lavan Island,IR
JPSMT,Shimotsu,JP
SETRG,Trelleborg,SE
IDPUM,Pomalaa,ID
IDSBG,Sabang,ID
DKGRE,Grenaa,DK
INKAK,Kakinada,IN
JMKIN,"Kingston, Jamaica",JM
JMOCJ,Ocho Rios,JM
IQKHA,Khor-al-Amaya,IQ
USAVQ,Avon,US
GBSHV,London Gateway Port,GB
GBMNC,Manchester,GB
INNAV,Navlakhi,IN
INVAD,Vadinar,IN
INVVA,Veraval,IN
IODGA,Diego Garcia,IO
ITBRI,Bari,IT
ITFAL,Falconara,IT
ITLIV,Livorno,IT
ITMLZ,Milazzo,IT
ITMNF,Monfalcone,IT
ITMSN,Messina,IT
ITNAP,"Naples, Italy",IT
IQKAZ,Khor al Zubair,IQ
NOBOO,Bodo,NO
NODRM,Drammen,NO
IRMRX,Bandar Mahshahr,IR
IRSXI,Sirri Island,IR
ITAOI,Ancona,IT
ITAUG,"Augusta, (Sicily), Italy",IT
ITFCO,Fiumicino,IT
JPIKW,Ishikawa,JP
ITPMA,Porto Marghera,IT
DKNAK,Nakskov,DK
DKNBG,"Nyborg, Denmark",DK
DKNYF,"Nykobing, (Falster), Denmark",DK
DKODE,Odense,DK
DKRAN,Randers,DK
DKRNN,Ronne,DK
JMPEV,Port Esquivel,JM
JMPKS,Port Kaiser,JM
JPNAH,Naha,JP
JPNAO,Naoetsu,JP
JPNGO,Nagoya,JP
DKSKB,Skaerbaek,DK
DKSKA,Skagen,DK
DKSGD,Sonderborg,DK
DKSSV,Studstrup,DK
DKVEJ,Vejle,DK
DMPOR,"Portsmouth, Dominica",DM
JMPOT,Port Antonio,JM
MZINH,Inhambane,MZ
AUWYN,Wyndham,AU
JMROP,"Rocky Point, Jamaica",JM
JPAOJ,Aomori,JP
DKHIR,Hirtshals,DK
JPSMZ,"Shimizu, (Honshu), Japan",JP
EEPRN,Parnu,EE
JPATM,Atsumi,JP
JPCTA,Chita - LNG,JP
JPNGS,Nagasaki,JP
JPNIH,Niigata-Higashi,JP
JPETA,Etajima,JP
JPFKJ,Fukui,JP
JPGAM,Gamagori,JP
JPMYJ,Matsuyama,JP
JPHBK,Hibikinada,JP
DOLRM,La Romana,DO
DOPOP,Puerto Plata,DO
DOPVA,Puerto Viejo de Azua,DO
DOSPM,San Pedro de Macoris,DO
DOCAU,Caucedo,DO
JPHIB,Hibi,JP
CANNO,Nanaimo,CA
JPHIM,Himeji,JP
LYLMQ,Marsa el Brega,LY
JPKKW,Kanokawa,JP
JPHTC,Hitachi,JP
JPIHA,Niihama,JP
SIKOP,Koper,SI
DOCBJ,Cabo Rojo,DO
JPISG,Ishigaki,JP
ECLLD,"La Libertad, Ecuador",EC
ECPBO,"Puerto Bolivar, Ecuador",EC
JPISM,Ishinomaki,JP
JPIWK,Iwakuni,JP
JPKAR,Karatsu,JP
JPKII,Kiire,JP
JPKIK,Kikuma,JP
JPKIN,Kin Wan (Okinawa),JP
JPKIS,Kamaishi,JP
TTCLA,Claxton Bay,TT
JPNSR,Noshiro,JP
JPNIT,Namikata,JP
EEKND,Kunda,EE
JPKND,Kanda,JP
PESVY,Salaverry,PE
JPKRE,Kure,JP
JPKSM,Kashima,JP
JPKUD,Kudamatsu,JP
JPKUH,Kushiro,JP
JPKZU,Kisarazu,JP
USSCK,Stockton,US
JPMAI,Maizuru,JP
JPMAT,Matsushima,JP
JPMIZ,Mizushima,JP
JPMOJ,Moji,JP
JPMUR,Muroran,JP
EGAIS,Ain Sukhna,EG
EGEDK,El Dekheila,EG
EGPTK,Port Tawfiq,EG
JPOFT,Ofunato,JP
KHPNH,Phnom Penh,KH
JPONA,Onahama,JP
JPSSB,Sasebo,JP
SLFNA,Freetown,SL
MHMAJ,Majuro,MH
CABWD,Botwood,CA
SEOST,Ostrand,SE
BRITA,Itacoatiara,BR
BRITJ,Itajai,BR
FIHKO,Hanko,FI
JPOWA,Owase,JP
JPRHK,Reihoku,JP
LVLPX,Liepaja,LV
JPRMI,Rumoi,JP
JPUKB,Kobe,JP
PGPOM,Port Moresby,PG
NOAES,Alesund,NO
NOAGO,Agotnes,NO
MAJFL,Jorf Lasfar,MA
JPTMI,Tsukumi,JP
JPSUZ,Susaki,JP
JPTAK,Takamatsu,JP
JPTBT,Tobata,JP
BRMCP,Macapa,BR
LYBOU,Bouri,LY
LYESI,Es Sider,LY
JPTHR,Takehara,JP
JPTHS,Toyohashi,JP
JPWKJ,Wakkanai,JP
JPYAN,Yanai,JP
JPSAK,Sakai,JP
JPSBS,Shibushi,JP
JPSDJ,Sendai,JP
JPSKD,Sakaide,JP
JPSKM,Shikama,JP
JPSKT,Sakata,JP
LYBEN,Benghazi,LY
JPTRG,Tsuruga,JP
NGWAR,Warri,NG
MZMPM,Maputo,MZ
NOBRE,Bremanger,NO
JPWAK,Wakayama,JP
FIOUL,Oulu,FI
FITKU,Turku,FI
FIUKI,Uusikaupunki,FI
MZMMW,Moma,MZ
NGESC,Escravos,NG
NGONN,Onne,NG
JPYAT,Yatsushiro,JP
JPYOS,Yokosuka,JP
NGSPL,Sapele,NG
MYKUA,Kuantan,MY
KRINC,Inchon,KR
KRKPO,Pohang,KR
KRKUV,Gunsan,KR
TWSHL,Sha Lung,TW
MACAS,Casablanca,MA
MATNG,Tangier,MA
SEYST,Ystad,SE
KRMAS,Masan,KR
KRPTK,Pyeong Taek,KR
KRPUS,Busan,KR
KRSCP,Samcheon Po,KR
KRTAN,Taean,KR
KRUSN,Ulsan,KR
KRYOS,Yosu,KR
KWMEA,Mina Al-Ahmadi,KW
FI VK,Valkom,FI
FIKOK,Yxpila,FI
FJLTK,Lautoka,FJ
KWMIB,Mina Abdulla,KW
NICIO,Corinto,NI
NIPSN,Puerto Sandino,NI
MAMOH,Mohammedia,MA
MANDR,Nador,MA
MASFI,Safi,MA
KWSAA,Shuaiba,KW
KWSWK,Shuwaikh,KW
LBBEY,Beirut,LB
LBKYE,"Tripoli, Lebanon",LB
LBSDN,Sidon,LB
NOSAU,Sauda,NO
MAAGA,Agadir,MA
MXSCX,Salina Cruz,MX
LKCMB,Colombo,LK
PRGUY,Guayanilla,PR
TRGEM,Gemlik,TR
TWKHH,Kaohsiung,TW
USMTW,Manitowoc,US
TWTPE,Taipei,TW
TWTXG,Taichung,TW
NRINU,Nauru,NR
LKGAL,Galle,LK
LKTRR,Trincomalee,LK
LRMLW,Monrovia,LR
LRUCN,Buchanan,LR
MZMNC,Nacala,MZ
LYMHR,Marsa al Hariga,LY
LYRLA,Ras Lanuf,LY
LYTIP,"Tripoli, Libya",LY
BEOST,Ostend,BE
CACBK,Corner Brook,CA
NGKOK,Koko,NG
CADHS,"Dalhousie, N.B., Canada",CA
MTMLA,Malta (Grand Harbour),MT
NOGLO,Glomfjord,NO
GREEU,Eleusis,GR
MVMLE,Male,MV
MXATM,"Altamira, Mexico",MX
MXCAT,Cayo Arcas,MX
MXLAP,La Paz,MX
MXLZC,Lazaro Cardenas,MX
MZMZQ,Mocambique,MZ
GBCAX,Carlisle,US
USCDB,Cold Bay,US
USDLG,Dillingham,US
USEVT,"Everett, Massachusetts, U.S.A.",US
GBMIS,Mistley,GB
MXMZT,Mazatlan,MX
MXPGO,Progreso,MX
MXRST,Rosarito,MX
NZAKL,Auckland,NZ
MYLBU,Labuan,MY
MYLDU,Lahad Datu,MY
MXTAM,Tampico,MX
MXTPB,Topolobampo,MX
USGRY,Gramercy,US
USHRE,Harlem,US
MXTUX,Tuxpan,MX
NLIJM,Ijmuiden,NL
SGPUB,Pulau Bukom,SG
NOHAL,Halden,NO
NOARD,Ardalstangen,NO
NALUD,Luderitz,NA
NAWVB,Walvis Bay,NA
NCNOU,Noumea,NC
NGCBQ,Calabar,NG
FJSUV,Suva,FJ
NOSUN,Sunndalsora,NO
MXZLO,"Manzanillo, Mexico",MX
MYKEM,Kemaman,MY
MYKET,Kerteh Port,MY
MYLUM,"Lumut, Malaya, Malaysia",MY
MYMYY,Miri,MY
MYPDI,Port Dickson,MY
MYPEN,Penang,MY
NOELN,Elnesvagen,NO
NOFRO,Floro,NO
NOHFT,Hammerfest,NO
MYSDK,Sandakan,MY
MYSPT,Sipitang,MY
MYTPP,Tanjung Pelepas,MY
MYTWU,Tawau,MY
MZBEW,Beira,MZ
NGPEN,Pennington,NG
NGPHC,Port Harcourt,NG
NGQIB,Qua Iboe,NG
NLAMS,Amsterdam,NL
NLDHR,Den Helder,NL
NLDOR,Dordrecht,NL
NLEEM,Eemshaven,NL
NLHAR,Harlingen,NL
NLMOE,Moerdijk,NL
NLSCE,Scheveningen,NL
NLTNZ,Terneuzen,NL
NLVEL,Velsen,NL
CA DA,"Dartmouth, N.S., Canada",CA
NOMSS,Moss,NO
NONVK,Narvik,NO
NOODD,Odda,NO
NOSLM,Slemmestad,NO
SCPOV,Port Victoria,SC
SDMBH,Marsa Bashayer,SD
NZWLG,"Wellington, New Zealand",NZ
NZWRE,Whangarei,NZ
OMSOH,Sohar Port,OM
NOMQN,Mo-I-Rana,NO
NOHRD,Harstad,NO
NOHRY,Heroya,NO
NOKAR,Karsto,NO
NOKKN,Kirkenes,NO
CATRR,Three Rivers,CA
CATHU,Thunder Bay,CA
NOKRS,Kristiansand S.,NO
NOLAR,Larvik,NO
NOMAN,Mandal,NO
NOMJF,Mosjoen,NO
NOOSL,Oslo,NO
NOOSY,Namsos,NO
PETYL,Talara,PE
FJVAT,Vatia,FJ
PGANB,Anewa Bay; Bougainville Island,PG
BGBAL,Balchik,BG
NOSTU,Sture,NO
CLCQQ,Coquimbo,CL
TRINE,Inebolu,TR
PHNON,Nonoc Island,PH
PHPRO,Poro,PH
PHSFS,Subic Bay,PH
PTSET,Setubal,PT
NOSVE,Svelgen,NO
NOSVJ,Svolvaer,NO
NOTON,Tonsberg,NO
NOTOS,Tromso,NO
NOTRD,Trondheim,NO
NOVDS,Vadso,NO
NZBLU,"Bluff, New Zealand",NZ
NZDUD,Dunedin,NZ
NZGIS,Gisborne,NZ
NZLYT,Lyttelton,NZ
NZMAP,Marsden Point,NZ
QARLF,Ras Laffan,QA
QAUMS,Umm Said - Iron Ore Berths,QA
ROCND,Constantza,RO
ROMID,Midia,RO
NZNPE,Napier,NZ
NZNSN,"Nelson, New Zealand",NZ
NZTIU,Timaru,NZ
PHVNV,Villanueva,PH
SOBBO,Berbera,SO
PAAML,Puerto Armuelles,PA
PABLB,Balboa,PA
PACHG,Chiriqui Grande,PA
PACTB,Cristobal,PA
PAMNP,Puerto Las Minas,PA
PAPAM,Almirante,PA
PECHM,Chimbote,PE
PECLL,Callao,PE
RUTUA,Tuapse,RU
RUVIT,Vitino,RU
RUVNN,Vanino,RU
RUVVO,Vladivostok,RU
RUVYG,Vyborg,RU
PEILQ,Ilo,PE
PEIQT,Iquitos,PE
PELPP,La Pampilla,PE
PEMLQ,Mollendo,PE
SEFAG,Falkenberg,SE
GBNCL,Newcastle Upon Tyne,GB
PEMRI,Matarani,PE
PEPAM,Paramonga,PE
PHILO,Iloilo,PH
PEPIO,Pisco,PE
PEPUB,Puerto Bayovar,PE
PESNX,"San Nicolas, Peru",PE
SEBRO,Brofjorden,SE
SGSEB,Pulau Sebarok,SG
YEADE,Aden,YE
PHBCD,Bacolod,PH
PHBTG,Batangas,PH
PHBTN,Bataan,PH
GRIGO,Igoumenitsa,GR
PTLIS,Lisbon,PT
PHCAA,Calaca,PH
PHDVO,Davao,PH
PHGES,General Santos,PH
PHIGN,Iligan,PH
PKKHI,Karachi,PK
PLGDN,Gdansk,PL
PLPLC,Police,PL
PLSWI,Swinoujscie,PL
FJVUD,Vuda Point,FJ
SEKAN,Karlshamn,SE
PLSZZ,Stettin,PL
GBNHV,Newhaven (Uk),GB
PRMAZ,Mayaguez,PR
TRKFZ,Korfez,TR
TRLMA,Limas,TR
FRRCO,Rochefort,FR
PRYAB,Yabucoa,PR
PTAVE,Aveiro,PT
PTFNC,Funchal,PT
PTLEI,Leixoes,PT
FRSML,St Malo,FR
PTSIE,Sines,PT
PTVDC,Viana do Castelo,PT
QADOH,Doha,QA
QAHAL,Halul Island,QA
RUARH,Archangel,RU
RUBLT,Baltiysk,RU
RUIKS,Tiksi,RU
GAOWE,Owendo,GA
SESLI,Slite,SE
SESOE,Sodertalje,SE
FRDPE,Dieppe,FR
SEUDD,Uddevalla,SE
SEUME,Umea,SE
SEVAG,Varberg,SE
GBNGG,Nigg Tmnl,GB
FRLVE,Le Verdon,FR
RUKDT,Kronshtadt,RU
RUKHO,Kholmsk,RU
RULED,"St Petersburg, Russia",RU
RUMMK,Murmansk,RU
RUNJK,Nakhodka,RU
RUNVS,Novorossiysk,RU
SEGOT,Gothenburg,SE
RUTAG,Taganrog,RU
SESKR,Skredsvik,SE
SADMM,Dammam,SA
SAJED,Jeddah,SA
SARAB,Rabigh,SA
SARAR,Ras Al-Khafji,SA
FIKAS,Kaskinen,FI
PHISL,Isabel,PH
PRLAM,Las Mareas,PR
SDPZU,Port Sudan,SD
SEAHU,Ahus,SE
SELLA,Lulea,SE
SEGVX,Gavle,SE
USBDR,Bridgeport,US
SEHAD,Halmstad,SE
SEHAK,Hallstavik,SE
SEHEL,Helsingborg,SE
SEHND,Hernosund,SE
SEVST,Vasteras,SE
SEHUV,Hudiksvall,SE
SEKLR,Kalmar,SE
SEKOG,Koping,SE
SELAA,Landskrona,SE
SELYS,Lysekil,SE
SEMMA,Malmo,SE
SENYN,Nynashamn,SE
TRIZM,Izmir,TR
USBNC,Benicia,US
USBNP,Brayton Point,US
USBOS,"Boston, Massachusetts, U.S.A.",US
GRKLX,Kalamata,GR
SEOER,Ornskoldsvik,SE
SEOSK,Oskarshamn,SE
THHKT,Phuket,TH
UAODS,Odessa,UA
UASVP,Sevastopol,UA
UAYUZ,Yuzhny,UA
TRHAY,Haydarpasa,TR
TRHOP,Hopa,TR
TRISK,Iskenderun,TR
SEOXE,Oxelosund,SE
SEPIT,Pitea,SE
PTHOR,Horta,PT
SESDL,Sundsvall,SE
FRNTE,Nantes,FR
FRNCE,Nice,FR
SESOL,Solvesborg,SE
SESOO,Soderhamn,SE
SESTE,Stenungsund,SE
SNDKR,Dakar,SN
TNGAE,Port De Ghannouch,TN
TRIST,Istanbul,TR
FRBAY,"Bayonne, France",FR
SOMGQ,Mogadishu,SO
SRPBM,Paramaribo,SR
SRPRM,Paranam,SR
SVAQJ,Acajutla,SV
TRMRM,Marmaris,TR
TRMER,Mersin,TR
SYLTK,Lattakia,SY
SYTTS,Tartous,SY
PHJNZ,Jimenez,PH
PTTER,Terceira Island,PT
FRPDB,Port de Bouc,FR
TGLFW,Lome,TG
THBKK,Bangkok,TH
THLCH,Laem Chabang,TH
TTPTF,Point Fortin,TT
TTPTG,Galeota Point,TT
TTPTS,Point Lisas,TT
TRALI,Aliaga,TR
GBPSB,Port Sutton Bridge,GB
TRSSX,Samsun,TR
THSAT,Sattahip,TH
THSGZ,Songhkla,TH
THSRI,Sriracha,TH
TNASH,Ashtart,TN
TNBIZ,Bizerte,TN
USBAL,"Baltimore - Locust Point, Maryland, U.S.A.",US
USBPT,Beaumont,US
USBRO,Brownsville,US
PHSMR,Semirara,PH
TNLGN,La Goulette,TN
FKPSY,"Port Stanley, Falkland Is. (U.K.)",FK
FRAJA,Ajaccio,FR
TNRDS,Rades,TN
TNSFA,Sfax,TN
TOTBU,"Nuku""alofa",TO
TRNEM,Nemrut Limani,TR
TRAYT,Antalya,TR
TRTUT,Tutuncifilik,TR
TRTZX,Trabzon,TR
TRBDM,Bandirma,TR
TRCKZ,Canakkale,TR
TRDRC,Derince,TR
TRERE,Karadeniz Eregli,TR
TRGEB,Gebze,TR
NOAAV,Aalvik,NO
FRBEC,"Bec d""Ambes",FR
FRCQF,"Calais, France",FR
FRCER,Cherbourg,FR
TRYUM,Yumurtalik,TR
TRZON,Zonguldak,TR
TRKRB,Karabiga,TR
TTPOS,Port of Spain,TT
TZDAR,Dar-es-Salaam,TZ
USHVR,Havre,FR
FRHON,Honfleur,FR
FRLMD,La Mede,FR
FRNOU,La Nouvelle,FR
USHOU,Houston,US
USHPY,Baytown,US
USILG,"Wilmington, Delaware, U.S.A.",US
USILM,"Wilmington, North Carolina, U.S.A.",US
USITO,Hilo,US
USBCG,"Boca Grande, Florida, U.S.A.",US
GBTIL,Tilbury,GB
TZMYW,Mtwara,TZ
TZZNZ,Zanzibar,TZ
UAERD,Berdyansk,UA
UAKHE,Kherson,UA
UAMPW,Mariupol,UA
UANLV,Nikolayev,UA
USPCR,Point Comfort,US
USGPT,"Gulfport, Mississippi, U.S.A.",US
VEMAR,Maracaibo,VE
DEWIS,Wismar,DE
USORF,Norfolk,US
IDDOB,Dobo,ID
UMAWK,Wake Island,US
USADK,Adak,US
USADQ,Kodiak,US
USALB,"Albany, New York, U.S.A.",US
USAMD,Ama,US
USANC,Anchorage,US
USASF,Ashtabula,US
USBUP,Bucksport,US
USBWT,Braithwaite,US
USCDE,Camden,US
USCHG,Cheboygan,US
USCHS,Charleston,US
USPAY,Perth Amboy,US
USCLE,Cleveland,US
USCLQ,Chalmette,US
USDNA,Donaldsonville,US
GBTTS,Totnes,GB
USCOB,Coos Bay,US
USOST,Ostrica,US
USSEA,Seattle,US
USSFO,San Francisco,US
USDCI,Delaware City,US
USGLS,Galveston,US
USGOP,Good Hope,US
USPON,Port Neches,US
USPTM,"Portsmouth, Virginia, U.S.A.",US
USDET,Detroit,US
USDUT,Dutch Harbor,US
RULOM,Lomonosov,RU
USELS,El Segundo,US
USENA,Kenai,US
USEYW,Key West,US
USFDT,Ferndale,US
GBTYN,Tyne,GB
USOTS,Anacortes,US
USPAB,Palm Beach,US
ZAMZY,Mossel Bay,ZA
ZAPLZ,Port Elizabeth,ZA
USSAC,Sacramento,US
USGSM,Geismar,US
BGVAR,Varna,BG
USGTL,Gretna,US
USGYV,Garyville,US
USAL3,Alliance,US
GBTRN,Troon,GB
USHVN,New Haven,US
USJAX,Jacksonville,US
USLAX,Los Angeles,US
VUSAN,Santo,VU
YEBLH,Balhaf,YE
USLGB,Long Beach,US
BRSLZ,Sao Luiz De Maranhao,BR
USLOG,Longview,US
USMAH,Marcus Hook,US
USPME,Port Manatee,US
USPNS,Pensacola,US
WSAPW,Apia,WS
USMKE,Milwaukee,US
USMOB,Mobile,US
LBACT,Amchit,LB
IETAR,Tarbert Island,IE
ECMEC,Manta,EC
USMQT,Marquette,US
CNNNH,Nanhui,CN
GYNAM,New Amsterdam,GY
IRIAQ,Bahregan,IR
USMRH,Morehead City,US
USMRZ,Martinez,US
USMSY,New Orleans,US
USMXP,Meraux,US
USMYG,Myrtle Grove,US
USNAX,Barbers Point,US
USNEW,Destrehan,US
USNNS,Newport News,US
USSAN,San Diego,US
USNTD,Port Hueneme,US
USOAK,Oakland,US
USOGG,Kahului,US
USOME,Nome,US
USPAE,"Everett, Washington, U.S.A.",US
USPCV,Port Canaveral,US
USPDX,"Portland, Oregon, U.S.A.",US
USPEF,Port Everglades,US
USPFN,"Panama City, Florida, U.S.A.",US
USPGL,Pascagoula,US
USPHL,Philadelphia,US
USRDB,Red Dog,US
ZARCB,Richards Bay,ZA
ZASDB,Saldanha Bay,ZA
USPHN,Port Huron,US
USPOA,"Port Arthur, Texas, U.S.A.",US
FRCFR,Caen,FR
USPTJ,Port Jefferson,US
USPVD,Providence,US
USPWM,"Portland, Maine, U.S.A.",US
USPYP,Piney Point,US
USSAV,Savannah,US
BGSOZ,Sozopol,BG
USSGY,Skagway,US
USSIT,Sitka,US
GBWRN,Warrington,GB
USSLM,Salem,US
VNONB,Nha Be,VN
GRCLK,Chalkis,GR
USSRP,Searsport,US
USTIW,Tacoma,US
VELAG,La Guaira,VE
VELSV,La Salina,VE
USTOL,"Toledo, Ohio, U.S.A.",US
USTPA,Tampa,US
USTXT,Texas City,US
USVAN,"Vancouver, Washington, U.S.A.",US
USVDZ,Valdez,US
GALBV,Libreville,GA
GAPOG,Port Gentil,GA
GBBRR,Barra - Castle Bay,GB
GBBDI,Brodick,GB
GBCOR,Corpach,GB
GBWEY,Weymouth,GB
USYKW,Yorktown,US
IDBLW,Belawan,ID
IDBPN,Balikpapan,ID
CMDLA,Douala,CM
CNNDE,Ningde,CN
UYFZB,Fray Bentos,UY
UYJIT,Jose Ignacio,UY
UYMVD,Montevideo,UY
UYNVP,Nueva Palmira,UY
VNDAD,Da Nang,VN
VNHPH,Haiphong,VN
VNNHA,Nha Trang,VN
VEELP,El Palito,VE
GBFWM,"Fort William, U.K.",GB
USSTH,St Helens,US
UYPDU,Paysandu,UY
XZDHT,Dai Hung Field,VN
GBCOY,Coryton - BP Oil - Thames,GB
GBFRH,Fingringhoe,GB
CNBSD,Baoshan,CN
VICTD,Christiansted,VI
VEBAV,Bachaquero,VE
VEBJV,Bajo Grande,VE
VECAR,Caripito,VE
GBHHN,Holehaven - Thames,GB
NOSGE,Slagen,NO
AUCHV,Challis Venture,AU
CNFZG,Fuzhou,CN
AOGIR,Girassol,AO
IDGRE,Gresik,ID
CNGZG,Guangzhou,CN
CANAN,Nanticoke,CA
CAOSH,Oshawa,CA
VEETV,El Tablazo,VE
CNSTG,Shantou,CN
JPTOS,Shinminato,JP
St Ja,St James,US
BRARE,Areia Branca,BR
VEMIV,Puerto Miranda,VE
GBCHE,Mostyn,GB
GBPAR,Par,GB
GBRID,Ridham Dock,GB
GBESH,Shoreham,GB
INPPT,Paradip,IN
RUKZP,Kavkaz,RU
KRJGE,Keoje,KR
IDKBU,Kota Baru,ID
RUKZM,Kozmino,RU
VEPLV,Punta Palmas del Sur,VE
USRCH,"Richmond, California, U.S.A.",US
USSMK,St Michael,US
VEPZO,Puerto Ordaz,VE
VESLV,"San Lorenzo, Venezuela",VE
VGRAD,Roadtown,VG
VISTT,St Thomas,VI
GBSOW,Stanlow,GB
IDSWT,Salawati,ID
VNCPH,Cam Pha,VN
INKRK,Karaikal,IN
GRTHI,Thisvi,GR
GNKMR,Kamsar,GN
GPPTP,Pointe-a-Pitre,GP
FISKV,Porvoo,FI
GRPPI,Prinos,GR
VNRDG,Rang Dong,VN
CAPTO,Pictou,CA
CAPNO,"Pointe Noire, Quebec, Canada",CA
YEMOK,Mokha,YE
GBTHP,Thamesport,GB
GDSTG,"St George""s, Grenada",GD
 GF  ,Degrad-des-Cannes,GF
GLFHN,Faeringehavn,GL
CNNJG,Nanjing,CN
CNBIN,Binzhou,CN
CAPAF,"Port Alfred, Quebec, Canada",CA
IRBAH,Assaluyeh,IR
CAESQ,Esquimalt,CA
USKLW,Klawock,US
ITCRV,Crotone,IT
INVTZ,Visakhapatnam,IN
MZPOL,Pemba,MZ
GBSHO,Shoreham By Sea,GB
USBLB,Belair,US
IDNNX,Nunukan,ID
USLPL,La Place,US
CARBC,Richmond (Ca),CA
GYLDN,Linden,GY
HRDBV,Dubrovnik - Ragusa,HR
HRDUR,Dugi Rat,HR
GRPER,Perama,GR
SELIM,Limhamn,SE
ARSMA,San Martin,AR
AUBUV,Buffalo Venture,AU
JPMIS,Misumi,JP
CNLSH,Lushun Kou,CN
CNTNJ,Tianjin,CN
IDSRI,Samarinda,ID
INJGD,Jaigarh,IN
VNCLN,Cai Lan,VN
ARCLC,Caleta Cordova,AR
CNCJG,Caojing,CN
ESCCN,Corcubion,ES
USLOR,Lorain,US
VNPHU,Phu My,VN
USNIK,Nikiski,US
GBSOU,Southampton,GB
AUCCU,Cape Cuvier,AU
CNDFG,Dafeng,CN
AODAL,Dalia Terminal,AO
EESLM,Sillamae,EE
LYDRX,Derna,LY
THERA,Erawan,TH
CNWHI,Wuhu,CN
KMDZA,Mayotte Island,IO
IQUQR,Umm Qasr,IQ
JPFKW,Funakawa,JP
CNHIG,Haikou,CN
AEHAM,Hamriyah,AE
AUHPT,Hay Point,AU
VNHON,Hon Gai,VN
NLHVH,Hook of Holland,NL
CNHUH,Huanghua,CN
TRIDM,Isdemir,TR
CMLIM,Limbe,CM
ITCVV,Civitavecchia,IT
INGGV,Gangavaram,IN
IDBET,Belida,ID
